	logFC	metadata_r_id	ec_number
13DAMPPOX_pos	1.0164971024488687	13DAMPPOX	1.4.3.6
2DR1PP_pos	1.0110309356475213	2DR1PP	3.1.3.10
2HBO_neg	1.009522812509929	2HBO	1.1.1.27
2HBO_pos	0.9991636545925812	2HBO	1.1.1.27
2OXOADOXm_pos	0.9979164016601408	2OXOADOXm	2.3.1.61
34DHOXPEGOX_pos	1.0030270393537108	34DHOXPEGOX	1.1.1.1
34DHPLACOX_NADP__neg	1.03804128162221	34DHPLACOX_NADP_	1.2.1.5
34DHPLACOX_pos	1.03804128162221	34DHPLACOX	1.2.1.5
34DHXMANDACOX_NADP__neg	1.03804128162221	34DHXMANDACOX_NADP_	1.2.1.5
34DHXMANDACOX_pos	1.03804128162221	34DHXMANDACOX	1.2.1.5
34HPPOR_pos	1.006524287013388	34HPPOR	1.13.11.27
3AIBTm_pos	1.006119318300332	3AIBTm	2.6.19.4
3DSPHR_pos	1.022980950549212	3DSPHR	1.1.1.102
3HAO_pos	1.000068556757092	3HAO	1.13.11.6
3HBCDm_pos	1.0003670364687174	3HBCDm	4.2.1.55
3HBCOAHLm_pos	1.000085227574025	3HBCOAHLm	3.1.2.4
3HLYTCL_pos	0.9973605775704049	3HLYTCL	4.1.1.28
3MOX4HOXPGALDOX_NADP__neg	1.03804128162221	3MOX4HOXPGALDOX_NADP_	1.2.1.5
3MOX4HOXPGALDOX_pos	1.03804128162221	3MOX4HOXPGALDOX	1.2.1.5
3SALACBOXL_pos	1.0019765096505435	3SALACBOXL	4.1.1.15
3SALATAi_pos	1.0026204352059627	3SALATAi	2.6.1.1
3SALATAim_pos	1.0095971455294965	3SALATAim	2.6.1.1
41R1H2MAE12BOOX_pos	1.0001875705871353	41R1H2MAE12BOOX	1.4.3.4
41R2A1H12BOOX_pos	1.003027039353711	41R2A1H12BOOX	1.4.3.4
4HGLSDm_pos	1.0013230894453926	4HGLSDm	1.5.1.12
4HOXPACDOX_NADP__pos	1.0005527575387947	4HOXPACDOX_NADP_	1.2.1.5
4NPHSULT_pos	1.0005247866330278	4NPHSULT	2.8.2.1
5ADTSTSTERONESULT_pos	0.9879186332039083	5ADTSTSTERONESULT	2.8.2.2
5HLTDL_pos	0.9985945635127044	5HLTDL	4.1.1.28
5HOXINDACTO2OX_pos	0.985741695054435	5HOXINDACTO2OX	1.2.3.1
A4GALTg_pos	1.003862965205728	A4GALTg	2.4.1.228
AACOAT_pos	1.0234310411056429	AACOAT	6.2.1.16
AACTOOR_pos	1.072358197750761	AACTOOR	1.4.3.6
AATAi_neg	1.0097045647971756	AATAi	2.6.1.39
AATAi_pos	0.9995929659404249	AATAi	2.6.1.39
ABTArm_neg	1.0158558851453663	ABTArm	2.6.19.4
ABTArm_pos	1.0091993167260025	ABTArm	2.6.19.4
ABTD_neg	1.0184940138975838	ABTD	1.1.1.12
ABTD_pos	1.0047566144464048	ABTD	1.1.1.12
ABUTD_pos	1.0245078027679622	ABUTD	1.2.1.19
ACACT10m_neg	1.0001762338950189	ACACT10m	2.3.1.9
ACACT10m_pos	1.0007182097875957	ACACT10m	2.3.1.9
ACACT1r_neg	1.100648092203259	ACACT1r	2.3.1.9
ACACT1r_pos	1.040426052893646	ACACT1r	2.3.1.9
ACACT1rm_pos	1.0744036613002341	ACACT1rm	2.3.1.9
ACACT1x_pos	1.0869837716387085	ACACT1x	2.3.1.9
ACACT4p_pos	0.9227630328256102	ACACT4p	2.3.1.16
ACACT5p_pos	0.9227630328256188	ACACT5p	2.3.1.16
ACACT6p_pos	0.9227630328256102	ACACT6p	2.3.1.16
ACACT7p_pos	0.9229363080400903	ACACT7p	2.3.1.16
ACCOACm_pos	1.0132500290216355	ACCOACm	6.4.1.2
ACCOAL_pos	1.0023380296610167	ACCOAL	6.2.1.13
ACCOALm_pos	0.9818545942336968	ACCOALm	6.2.1.17
ACGAM2E_neg	0.9951869807657747	ACGAM2E	5.1.3.8
ACGAM2E_pos	1.0120335238291733	ACGAM2E	5.1.3.8
ACGAM6PSi_pos	1.0016788087235133	ACGAM6PSi	2.3.1.4
ACGAMK_pos	0.9999608895199161	ACGAMK	2.7.1.59
ACGAMPM_pos	0.9937345407328397	ACGAMPM	5.4.2.3
ACGPID_pos	0.9992600562407482	ACGPID	3.5.1.89
ACHEe_pos	1.0512092880553223	ACHEe	3.1.1.7
ACITL_pos	1.041414557191718	ACITL	2.3.3.8
ACNAM9PL2_pos	0.9992478925308483	ACNAM9PL2	2.5.1.56
ACNAM9PL_pos	0.9951346425411558	ACNAM9PL	2.5.1.56
ACNAMPH_pos	0.9951346425411558	ACNAMPH	3.1.3.29
ACNMLr_neg	1.0200952083409587	ACNMLr	4.1.3.3
ACNMLr_pos	0.9927549082741152	ACNMLr	4.1.3.3
ACOAD10m_pos	0.8137142606793811	ACOAD10m	1.3.99.12
ACOAD1fm_pos	0.9798965446072646	ACOAD1fm	1.3.99.2
ACOAD8m_pos	0.8860434905957326	ACOAD8m	1.3.99.10
ACOAD9m_pos	0.9987699717476628	ACOAD9m	1.3.99.12
ACOAHi_pos	1.0348144235941223	ACOAHi	3.1.2.1
ACOAO7p_pos	0.9186644853858075	ACOAO7p	1.3.3.6
ACONT_neg	0.9999990663956315	ACONT	4.2.1.3
ACONT_pos	0.9999990663956315	ACONT	4.2.1.3
ACONTm_neg	1.0052088657218436	ACONTm	4.2.1.3
ACONTm_pos	1.0052088657218436	ACONTm	4.2.1.3
ACOX22x_pos	1.0161015684536	ACOX22x	1.3.3.6
ACOX2x_pos	1.0252007264804277	ACOX2x	1.3.3.6
ACP1_FMN__pos	1.0306138758445609	ACP1_FMN_	3.1.3.2
ACS2_pos	1.0277331320935137	ACS2	6.2.1.16
ACS_pos	1.0389184457434637	ACS	6.2.1.1
ACSm_pos	0.9188469857412341	ACSm	6.2.1.1
ACYP_pos	1.020739707905514	ACYP	3.6.1.7
ADA_pos	1.1511967235600542	ADA	3.5.4.4
ADAe_pos	1.182703369445486	ADAe	3.5.4.4
ADCim_pos	1.036638566605687	ADCim	4.1.1.4
ADK1m_neg	0.995261899112957	ADK1m	2.7.4.3
ADK1m_pos	0.995261899112957	ADK1m	2.7.4.3
ADKd_neg	0.9992010237038415	ADKd	2.7.4.3
ADKd_pos	0.9992010237038415	ADKd	2.7.4.3
ADMDC_pos	1.0070581750205931	ADMDC	4.1.1.50
ADNCYC_pos	1.033082052253585	ADNCYC	4.6.1.1
ADNK1m_pos	1.0007886083165989	ADNK1m	2.7.1.20
ADPRDP_pos	1.0425787672546754	ADPRDP	3.6.1.13
ADPT_pos	1.0281157305967819	ADPT	2.4.2.7
ADRNCPT1_pos	1.0004107181313946	ADRNCPT1	2.3.1.21
ADSK_pos	1.0132655282888616	ADSK	2.7.1.25
ADSL1_pos	1.102240307925462	ADSL1	4.3.2.2
ADSL2_pos	1.0412713185535372	ADSL2	4.3.2.2
ADSS_pos	1.102240307925462	ADSS	6.3.4.4
AG13T10g_pos	0.9488209665104896	AG13T10g	2.4.1.149
AG13T11g_pos	0.9488209665104896	AG13T11g	2.4.1.149
AG13T12g_pos	0.9488209665104896	AG13T12g	2.4.1.149
AG13T13g_pos	0.9488209665104896	AG13T13g	2.4.1.149
AG13T14g_pos	0.9488209665104896	AG13T14g	2.4.1.149
AG13T15g_pos	0.9488209665104896	AG13T15g	2.4.1.149
AG13T16g_pos	0.9941023182490307	AG13T16g	2.4.1.149
AG13T17g_pos	0.9941023182490307	AG13T17g	2.4.1.149
AG13T18g_pos	0.9941023182490284	AG13T18g	2.4.1.149
AG13T1g_pos	0.9889933860510653	AG13T1g	2.4.1.149
AG13T2g_pos	0.9889933860510653	AG13T2g	2.4.1.149
AG13T3g_pos	0.9889933860510653	AG13T3g	2.4.1.149
AG13T4g_pos	0.9488209665104896	AG13T4g	2.4.1.149
AG13T5g_pos	0.9488209665104896	AG13T5g	2.4.1.149
AG13T6g_pos	0.9488209665104896	AG13T6g	2.4.1.149
AG13T7g_pos	0.9488209665104896	AG13T7g	2.4.1.149
AG13T8g_pos	0.9488209665104896	AG13T8g	2.4.1.149
AG13T9g_pos	0.9488209665104896	AG13T9g	2.4.1.149
AGDC_pos	0.9984887544503905	AGDC	3.5.1.25
AGMTm_pos	1.0240332946610358	AGMTm	3.5.3.11
AGPAT1_pos	0.9873950214352915	AGPAT1	2.3.1.51
AGTim_pos	0.9938074802936278	AGTim	2.6.1.44
AGTix_pos	1.0283717790572142	AGTix	2.6.1.44
AHC_pos	1.004928908629686	AHC	3.3.1.1
AHEXASE2ly_pos	0.9512731249037232	AHEXASE2ly	3.2.1.52
AHEXASEly_pos	0.9849982658774393	AHEXASEly	3.2.1.52
AICART_neg	0.9988688256563791	AICART	2.1.2.3
AICART_pos	1.0396947838103552	AICART	2.1.2.3
AK2LGCHOLt_neg	1.0001896284191687	AK2LGCHOLt	4.1.1.21
AK2LGCHOLt_pos	1.0499681762245263	AK2LGCHOLt	4.1.1.21
AKGDm_pos	0.9996655422513531	AKGDm	2.3.1.61
AKR1C1_pos	1.0272076813635143	AKR1C1	1.3.1.20
AKR1C41_pos	0.9989748965609484	AKR1C41	1.1.1.50
AKR1C42_pos	0.9989748965609484	AKR1C42	1.1.1.50
AKR1D2_pos	1.0256411184241776	AKR1D2	1.3.99.6
AKR1D_pos	0.9544467932806875	AKR1D	1.3.99.6
ALAR_neg	1.000775875233769	ALAR	5.1.1.1
ALAR_pos	1.00022769747402	ALAR	5.1.1.1
ALASm_pos	1.0	ALASm	2.3.1.37
ALATA_L_neg	1.0022734292880744	ALATA_L	2.6.1.2
ALATA_L_pos	0.9958655071981204	ALATA_L	2.6.1.2
ALCD1_neg	1.025559319114583	ALCD1	1.1.1.1
ALCD1_pos	1.0013889473130166	ALCD1	1.1.1.1
ALCD21_D_pos	1.009037870929076	ALCD21_D	1.1.1.1
ALCD21_L_pos	1.1471107397348559	ALCD21_L	1.1.1.1
ALCD22_D_pos	0.992392460023211	ALCD22_D	1.1.1.78
ALCD22_L_pos	1.1471107397348559	ALCD22_L	1.2.1.49
ALCD2if_pos	1.0001925952062902	ALCD2if	1.1.1.1
ALCD2yf_pos	1.004120456008703	ALCD2yf	1.1.1.2
ALDD2x_pos	1.0604818461867642	ALDD2x	1.2.1.3
ALDD2xm_pos	1.05710216878891	ALDD2xm	1.2.1.3
ALDD2y_pos	1.048445057492846	ALDD2y	1.2.1.4
ALOX52_pos	0.9971957501601451	ALOX52	1.13.11.34
ALOX5_pos	0.9997787586518726	ALOX5	1.13.11.34
ALR2_pos	1.1471107397348559	ALR2	1.1.1.21
ALR3_pos	1.1471107397348559	ALR3	1.1.1.21
AMACR2p_pos	1.0294013585484303	AMACR2p	5.1.99.4
AMACRp_pos	1.0252007264804277	AMACRp	5.1.99.4
AMANK_pos	0.9951346425411558	AMANK	2.7.1.60
AMPDA_pos	1.1049271715727413	AMPDA	3.5.4.6
AMPTASECG_pos	1.0044249549127175	AMPTASECG	3.4.11.1
AMPTASECGe_pos	0.9921065736632407	AMPTASECGe	3.4.11.2
AMY1e_pos	1.000154655773261	AMY1e	3.2.1.1
AMY2e_pos	1.000154655773261	AMY2e	3.2.1.1
APAT2rm_neg	0.9855407042074081	APAT2rm	2.6.19.4
APAT2rm_pos	1.0247811968590608	APAT2rm	2.6.19.4
ARABR_pos	1.0009438926028926	ARABR	1.1.1.21
ARACHCPT1_pos	0.9971617704397657	ARACHCPT1	2.3.1.21
ARGDCm_pos	1.0240332946610358	ARGDCm	4.1.1.19
ARGN_pos	1.0371487009564382	ARGN	3.5.3.1
ARGNm_pos	1.0367413823119445	ARGNm	3.5.3.1
ARGSL_pos	1.035124666921796	ARGSL	4.3.2.1
ARSA_pos	0.9530600923906977	ARSA	3.1.6.8
ASAH1_pos	1.0255825116274508	ASAH1	3.5.1.23
ASNNm_pos	0.9880282612808287	ASNNm	3.5.1.1
ASNS1_pos	0.9583382118832133	ASNS1	6.3.5.4
ASP1DC_pos	1.0725965375156905	ASP1DC	4.1.1.15
ASPCTr_pos	1.0748105774114558	ASPCTr	2.1.3.2
ASPNATm_pos	1.1272989221855647	ASPNATm	2.3.1.17
ASPTA_neg	1.0881745311375222	ASPTA	2.6.1.1
ASPTA_pos	1.0433130101617953	ASPTA	2.6.1.1
ASPTAm_neg	1.0433848704376172	ASPTAm	2.6.1.1
ASPTAm_pos	1.0082441862559162	ASPTAm	2.6.1.1
ATPH1e_pos	1.0778140006824912	ATPH1e	3.6.1.5
ATPH2e_pos	1.0	ATPH2e	3.6.1.5
ATPS4m_pos	1.0062432480234262	ATPS4m	3.6.3.14
ATPasel_pos	0.984121499875525	ATPasel	3.6.3.14
A_MANASEly_pos	0.9427662910640544	A_MANASEly	3.2.1.24
B3GALT3g_pos	1.003862965205729	B3GALT3g	2.4.1.79
B3GALT41g_pos	1.009122360497849	B3GALT41g	2.4.1.62
B3GALT42g_pos	1.0126148009486124	B3GALT42g	2.4.1.62
B3GALT43g_pos	1.0143193774478474	B3GALT43g	2.4.1.62
B3GALT44g_pos	1.017380469491644	B3GALT44g	2.4.1.62
B3GALTg_pos	1.006686822974379	B3GALTg	2.4.1.86
BAAT2x_pos	1.0216038657554098	BAAT2x	2.3.1.65
BAAT3x_pos	1.0294013585484343	BAAT3x	2.3.1.65
BACCL_pos	0.9868375104350611	BACCL	6.3.4.15
BACCLm_pos	0.9646403735490889	BACCLm	6.3.4.15
BAMPPALDOX_pos	1.0164971024488687	BAMPPALDOX	1.2.1.36
BCDO_pos	1.002351859641682	BCDO	1.14.99.36
BDHm_neg	1.0710405755146062	BDHm	1.1.1.30
BDHm_pos	1.0022655243434642	BDHm	1.1.1.30
BDMT_L_pos	0.9417787384325327	BDMT_L	2.4.1.142
BDMT_U_pos	0.9417787384325293	BDMT_U	2.4.1.142
BETALDHxm_pos	0.9907699759898008	BETALDHxm	1.2.1.8
BHMT_pos	0.9962000906303649	BHMT	2.1.1.5
BILIRED_pos	0.9954878459365842	BILIRED	1.3.1.24
BPNT2_pos	1.0132655282888632	BPNT2	3.1.3.7
BPNT_pos	0.9962316702589773	BPNT	3.1.3.7
BTND1_pos	0.9868375104350631	BTND1	3.5.1.12
BTND1n_pos	0.9857970335932796	BTND1n	3.5.1.12
BTNDe_pos	1.0	BTNDe	3.5.1.12
BTNDm_pos	0.9646403735490889	BTNDm	3.5.1.12
BUP2_pos	1.0847575552245243	BUP2	3.5.1.6
B_MANNASEly_pos	0.9427662910640544	B_MANNASEly	3.2.1.25
C14STRr_pos	1.0	C14STRr	1.3.1.70
C160CPT1_pos	1.0977351610168684	C160CPT1	2.3.1.21
C160CPT2_pos	1.0312276690051454	C160CPT2	2.3.1.21
C161CPT12_pos	1.0282657964141049	C161CPT12	2.3.1.21
C161CPT1_pos	1.0236570827321947	C161CPT1	2.3.1.21
C161CPT22_pos	1.0282657964141049	C161CPT22	2.3.1.21
C180CPT1_pos	1.010310809022548	C180CPT1	2.3.1.21
C180CPT2_pos	1.010310809022548	C180CPT2	2.3.1.21
C181CPT1_pos	1.0831693630686636	C181CPT1	2.3.1.21
C204CPT1_pos	1.0034527033674967	C204CPT1	2.3.1.21
C226CPT1_pos	1.011049307155158	C226CPT1	2.3.1.21
CAATPS_pos	0.9861244109459992	CAATPS	3.6.3.6
CAT2p_pos	0.9978457640149004	CAT2p	1.11.1.6
CATm_pos	1.0015639688494522	CATm	1.11.1.6
CATp_pos	1.0168870321441001	CATp	1.11.1.6
CBPSam_pos	1.0374464292400798	CBPSam	6.3.4.16
CBR2_pos	1.0008422367289227	CBR2	1.1.1.197
CDIPTr_neg	1.0105425851120462	CDIPTr	2.7.8.11
CDIPTr_pos	1.0004964067292952	CDIPTr	2.7.8.11
CDS_pos	1.0004964067292952	CDS	2.7.7.41
CDSm_pos	0.9833195036706655	CDSm	2.7.7.41
CERK_pos	0.9889463557115482	CERK	2.7.1.138
CHLPCTD_pos	1.0046780043818917	CHLPCTD	2.7.7.15
CHLP_pos	1.0159032037714546	CHLP	2.7.7.15
CHOLD2m_pos	0.9907699759898008	CHOLD2m	1.1.99.1
CHSTEROLSULT_pos	0.993064353554909	CHSTEROLSULT	2.8.2.2
CHTNASEe_pos	1.0000230255569955	CHTNASEe	3.2.1.14
CITL_pos	1.0061116101869232	CITL	4.1.3.6
CK_pos	0.9935242934453967	CK	2.7.3.2
CKc_neg	0.9935242934453967	CKc	2.7.3.2
CMPSAS_pos	1.0143570384035352	CMPSAS	2.7.7.43
CMPSASn_pos	1.0142730253558871	CMPSASn	2.7.7.43
CORE2GTg_pos	0.9876929413552323	CORE2GTg	2.4.1.102
CORE3GTg_pos	0.9941023182490307	CORE3GTg	2.4.1.147
CORE4GTg_pos	0.9941023182490307	CORE4GTg	2.4.1.148
CORE6GTg_pos	1.0261603471563285	CORE6GTg	2.4.1.102
COUCOAFm_pos	1.0148902404557987	COUCOAFm	6.2.1.12
CPPPGO_pos	0.9954490744809219	CPPPGO	1.3.3.3
CSNAT2m_pos	1.000262967592299	CSNAT2m	2.3.1.7
CSNAT2x_neg	0.9976024265858793	CSNAT2x	2.3.1.7
CSNAT2x_pos	0.9976024265858793	CSNAT2x	2.3.1.7
CSNAT3x_pos	1.0	CSNAT3x	2.3.1.7
CSNATer_neg	1.0	CSNATer	2.3.1.7
CSNATer_pos	1.0	CSNATer	2.3.1.7
CSNATm_pos	1.0517108199900826	CSNATm	2.3.1.7
CSNATp_neg	1.0087078133366347	CSNATp	2.3.1.7
CSNATp_pos	0.9956856037772679	CSNATp	2.3.1.7
CSNATr_neg	1.0	CSNATr	2.3.1.7
CSNATr_pos	1.0	CSNATr	2.3.1.7
CSND_pos	0.9992896317497758	CSND	3.5.4.1
CSm_pos	0.9871968457495705	CSm	4.1.3.7
CYSGLTH_neg	0.9907072085870401	CYSGLTH	1.8.4.4
CYSGLTH_pos	1.0010564733163894	CYSGLTH	1.8.4.4
CYSO_pos	1.002719739078094	CYSO	1.13.11.20
CYSTA_pos	0.9812107937248064	CYSTA	2.6.1.3
CYSTGL_pos	1.000066454838979	CYSTGL	4.4.1.1
CYSTS_pos	1.000066454838979	CYSTS	4.2.1.22
CYTD_pos	1.0768472529617397	CYTD	3.5.4.5
CYTDn_pos	1.1190929055499383	CYTDn	3.5.4.5
CYTK10_neg	0.965098512231126	CYTK10	2.7.4.14
CYTK10_pos	0.9650985122311262	CYTK10	2.7.4.14
CYTK10n_neg	0.9658760921151522	CYTK10n	2.7.4.14
CYTK10n_pos	0.9658760921151522	CYTK10n	2.7.4.14
CYTK11_neg	0.965098512231126	CYTK11	2.7.4.14
CYTK11_pos	0.965098512231126	CYTK11	2.7.4.14
CYTK11n_neg	0.9658760921151522	CYTK11n	2.7.4.14
CYTK11n_pos	0.9658760921151522	CYTK11n	2.7.4.14
CYTK12_neg	0.965098512231126	CYTK12	2.7.4.14
CYTK12_pos	0.965098512231126	CYTK12	2.7.4.14
CYTK12n_neg	0.9658760921151522	CYTK12n	2.7.4.14
CYTK12n_pos	0.9658760921151522	CYTK12n	2.7.4.14
CYTK13_neg	0.965098512231126	CYTK13	2.7.4.14
CYTK13_pos	0.965098512231126	CYTK13	2.7.4.14
CYTK13n_neg	0.9658760921151522	CYTK13n	2.7.4.14
CYTK13n_pos	0.9658760921151522	CYTK13n	2.7.4.14
CYTK14_neg	0.965098512231126	CYTK14	2.7.4.14
CYTK14_pos	0.965098512231126	CYTK14	2.7.4.14
CYTK14n_neg	0.9658760921151522	CYTK14n	2.7.4.14
CYTK14n_pos	0.9658760921151522	CYTK14n	2.7.4.14
CYTK1n_neg	0.9658760921151522	CYTK1n	2.7.4.14
CYTK1n_pos	0.9658760921151522	CYTK1n	2.7.4.14
CYTK2n_neg	0.9658760921151522	CYTK2n	2.7.4.14
CYTK2n_pos	0.9658760921151522	CYTK2n	2.7.4.14
CYTK3n_neg	0.9658760921151522	CYTK3n	2.7.4.14
CYTK3n_pos	0.9658760921151522	CYTK3n	2.7.4.14
CYTK4n_neg	0.9658760921151522	CYTK4n	2.7.4.14
CYTK4n_pos	0.9658760921151522	CYTK4n	2.7.4.14
CYTK5_neg	0.965098512231126	CYTK5	2.7.4.14
CYTK5_pos	0.965098512231126	CYTK5	2.7.4.14
CYTK5n_neg	0.9658760921151522	CYTK5n	2.7.4.14
CYTK5n_pos	0.9658760921151522	CYTK5n	2.7.4.14
CYTK6_neg	0.965098512231126	CYTK6	2.7.4.14
CYTK6_pos	0.965098512231126	CYTK6	2.7.4.14
CYTK6n_neg	0.9658760921151522	CYTK6n	2.7.4.14
CYTK6n_pos	0.9658760921151522	CYTK6n	2.7.4.14
CYTK7_neg	0.9650985122311257	CYTK7	2.7.4.14
CYTK7_pos	0.965098512231126	CYTK7	2.7.4.14
CYTK7n_neg	0.9658760921151522	CYTK7n	2.7.4.14
CYTK7n_pos	0.9658760921151522	CYTK7n	2.7.4.14
CYTK8_neg	0.965098512231126	CYTK8	2.7.4.14
CYTK8_pos	0.9650985122311262	CYTK8	2.7.4.14
CYTK8n_neg	0.9658760921151522	CYTK8n	2.7.4.14
CYTK8n_pos	0.9658760921151522	CYTK8n	2.7.4.14
CYTK9_neg	0.965098512231126	CYTK9	2.7.4.14
CYTK9_pos	0.965098512231126	CYTK9	2.7.4.14
CYTK9n_neg	0.9658760921151522	CYTK9n	2.7.4.14
CYTK9n_pos	0.9658760921151522	CYTK9n	2.7.4.14
D3AIBTm_neg	1.1026611660053043	D3AIBTm	2.6.1.40
D3AIBTm_pos	1.1026611660053043	D3AIBTm	2.6.1.40
DADA_pos	1.1664906666831978	DADA	3.5.4.4
DADAe_pos	1.1224181222249967	DADAe	3.5.4.4
DADNK_pos	1.015062180272211	DADNK	2.7.1.76
DAGK_hs_neg	1.0173083095738	DAGK_hs	2.7.1.107
DAGK_hs_pos	0.9901398388962397	DAGK_hs	2.7.1.107
DAGKn_hs_pos	1.0722116543289866	DAGKn_hs	2.7.1.107
DAGt_neg	1.0352272517554006	DAGt	2.7.1.107
DAGt_pos	1.0026462548755348	DAGt	2.7.1.107
DALAOXx_pos	0.9608613637455327	DALAOXx	1.4.3.3
DASCBR_pos	1.0288916304218862	DASCBR	1.6.5.4
DASPO1p_pos	0.9980037739500928	DASPO1p	1.4.3.1
DCK1n_neg	1.4484600983518943	DCK1n	2.7.1.74
DCK1n_pos	1.4484600983518943	DCK1n	2.7.1.74
DCK2n_neg	1.4484600983518943	DCK2n	2.7.1.74
DCK2n_pos	1.4484600983518943	DCK2n	2.7.1.74
DCMPDA_neg	1.0034093459823579	DCMPDA	3.5.4.12
DCMPDA_pos	1.0495407540707984	DCMPDA	3.5.4.12
DCSPTN1CPT1_pos	1.0017430719438583	DCSPTN1CPT1	2.3.1.21
DCT_pos	1.001482623957707	DCT	5.3.3.12
DCYTD_pos	1.0032907601610475	DCYTD	3.5.4.14
DCYTDn_pos	1.0124238585044123	DCYTDn	3.5.4.14
DDPGAm_pos	1.00650305199124	DDPGAm	4.1.2.14
DESAT16_2_pos	0.9869998882008664	DESAT16_2	1.14.19.1
DESAT18_10_pos	0.9988852843597117	DESAT18_10	1.14.19.1
DESAT18_3_pos	1.0193806507601852	DESAT18_3	1.14.19.1
DESAT18_4_pos	1.025269222476607	DESAT18_4	1.14.19.1
