genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Hk1	-0.50758183	15275	B4YB29	O08528	0.2947735617866299
Hk1	-0.50758183	15275	B4YB29	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	P17710	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	G3UVV4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	P17710	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q3TTB4	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	G3UVV4	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	P17710	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	O08528	0.2947735617866299
Hk1	-0.50758183	15275	Q6GQU1	B4YB29	0.2947735617866299
Ggt1	1.4993699	14598	Q60928	Q60928	0.48987823789360907
Ggt1	1.4993699	14598	Q4FK56	Q60928	0.48987823789360907
Pfkl	1.022963	18641	P12382	P12382	-0.0007105238420226967
Agpat3	-0.033776827	28169	Q9D517	Q9D517	0.3670376635353843
Atp5d	-0.16211167	66043	Q9D3D9		
Atp5d	-0.16211167	66043	D3Z7S4		
Atp5d	-0.16211167	66043	Q4FK74		
Ndufs7	-1.205628	75406	Q9DC70	Q9DC70	0.028902257527797005
Uqcr11	-1.1259619	66594	Q9CPX8	Q9CPX8	-0.195568685876765
Chpt1	-2.5891194	212862	Q8C025		
Chpt1	-2.5891194	212862	D3YU39		
Lta4h	-0.075804286	16993	P24527	P24527	0.04870482517061769
Ndufa12	-0.31129178	66414	Q7TMF3	A0A0R4J275	0.06164592218535332
Ndufa12	-0.31129178	66414	Q7TMF3	Q7TMF3	0.06164592218535332
Ndufa12	-0.31129178	66414	A0A0R4J275	A0A0R4J275	0.06164592218535332
Ndufa12	-0.31129178	66414	A0A0R4J275	Q7TMF3	0.06164592218535332
Ptges3	0.43050322	56351	Q9R0Q7	Q9R0Q7	0.2929817720506827
Atp5b	-0.19840293	11947	P56480		
Cs	-0.39429638	12974	Q9CZU6	Q9CZU6	0.4338676728345741
Pla2g3	-2.227498	237625	Q8BZT7		
Pla2g3	-2.227498	237625	Q6AXH0		
Uqcr10	-0.08090673	66152	Q8R1I1	Q8R1I1	0.09359152421739624
Uqcr10	-0.08090673	66152	Q5NCJ9	Q8R1I1	0.09359152421739624
Gck	-0.25292343	103988	P52792		
Gck	-0.25292343	103988	Q5SVI5		
Gck	-0.25292343	103988	Q5SVI6		
Ogdh	0.63243484	18293	Q60597	Q60597	0.40334570503893213
Ogdh	0.63243484	18293	Q60597	Z4YJV4	0.40334570503893213
Ogdh	0.63243484	18293	Q60597	Z4YJV4	0.40334570503893213
Ogdh	0.63243484	18293	Z4YJV4	Q60597	0.40334570503893213
Ogdh	0.63243484	18293	Z4YJV4	Z4YJV4	0.40334570503893213
Ogdh	0.63243484	18293	Z4YJV4	Z4YJV4	0.40334570503893213
Mdh1	-0.6481303	17449	P14152	P14152	-0.16314069514903345
Mdh1	-0.6481303	17449	A0A5F8MPN8	P14152	-0.16314069514903345
Uqcrq	-0.5780816	22272	Q9CQ69	Q9CQ69	0.7547429164616911
Acsl6	-2.265522	216739	Q91WC3	Q5ICG5	0.3040880027079254
Acsl6	-2.265522	216739	Q91WC3	Q8R1X1	0.3040880027079254
Acsl6	-2.265522	216739	Q91WC3	Q91WC3	0.3040880027079254
Acsl6	-2.265522	216739	Q5F2D0	Q5ICG5	0.3040880027079254
Acsl6	-2.265522	216739	Q5F2D0	Q8R1X1	0.3040880027079254
Acsl6	-2.265522	216739	Q5F2D0	Q91WC3	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG4	Q5ICG5	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG4	Q8R1X1	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG4	Q91WC3	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG5	Q5ICG5	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG5	Q8R1X1	0.3040880027079254
Acsl6	-2.265522	216739	Q5ICG5	Q91WC3	0.3040880027079254
Acsl6	-2.265522	216739	Q8R1X1	Q5ICG5	0.3040880027079254
Acsl6	-2.265522	216739	Q8R1X1	Q8R1X1	0.3040880027079254
Acsl6	-2.265522	216739	Q8R1X1	Q91WC3	0.3040880027079254
Aldh3a2	2.1455402	11671	P47740	B1AV77	0.42935866448741394
Aldh3a2	2.1455402	11671	P47740	P47740	0.42935866448741394
Aldh3a2	2.1455402	11671	B1AV77	B1AV77	0.42935866448741394
Aldh3a2	2.1455402	11671	B1AV77	P47740	0.42935866448741394
Cox10	-0.24007413	70383	Q8CFY5		
Cox10	-0.24007413	70383	Q3U3N1		
Cox10	-0.24007413	70383	Q3UDN4		
Adprm	-2.1748085	66358	Q99KS6		
Acadvl	0.5829193	11370	P50544	P50544	0.7211558399321178
Aldoc	0.047003392	11676	P05063	P05063	0.0899347274229362
Acaca	0.03978438	107476	Q5SWU9	Q5SWU9	0.29876796645960185
Dgke	-0.94165426	56077	Q9R1C6	Q9R1C6	0.5275420205497924
Cox11	1.8900062	69802	Q6P8I6		
Atp5g1	-0.4168505	11951	Q9CR84		
Acly	-0.29044726	104112	Q91V92	Q91V92	0.04671388790515253
Acly	-0.29044726	104112	Q91V92	Q3V117	0.07934919245857527
Acly	-0.29044726	104112	Q3V117	Q91V92	0.04671388790515253
Acly	-0.29044726	104112	Q3V117	Q3V117	0.07934919245857527
Atp6v0a1	1.1907117	11975	Q9Z1G4	Q9Z1G4	0.005654824316167328
Atp6v0a1	1.1907117	11975	Q3TXT5	Q9Z1G4	0.005654824316167328
Atp6v0a1	1.1907117	11975	Q3TY98	Q9Z1G4	0.005654824316167328
G6pc3	0.6119923	68401	Q6NSQ9		
Atp5h	-0.30118662	71679	Q9DCX2		
Acox1	0.32217422	11430	Q9R0H0	Q9R0H0	0.3331597708998748
Pgs1	-0.1280349	74451	Q8BHF7		
Pgs1	-0.1280349	74451	B9EKS7		
Pcyt2	0.7684846	68671	Q922E4	A2ABY3	-0.007772486136790754
Pcyt2	0.7684846	68671	Q922E4	Q922E4	-0.007772486136790754
Pcyt2	0.7684846	68671	A2ABY3	A2ABY3	-0.007772486136790754
Pcyt2	0.7684846	68671	A2ABY3	Q922E4	-0.007772486136790754
Pcyt2	0.7684846	68671	Q3USD5	A2ABY3	-0.007772486136790754
Pcyt2	0.7684846	68671	Q3USD5	Q922E4	-0.007772486136790754
Lpin1	0.9121134	14245	Q91ZP3		
Lpin1	0.9121134	14245	A0A1Y7VLN4		
Lpin1	0.9121134	14245	A0A5F8MQ53		
Lpin1	0.9121134	14245	E9QKQ5		
Lpin1	0.9121134	14245	Q8CD95		
Mboat2	-1.3527555	67216	Q8R3I2	Q8R3I2	1.3441023954855251
Mboat2	-1.3527555	67216	Q8BN01	Q8R3I2	1.3441023954855251
Dld	-1.3563204	13382	O08749	O08749	0.23241559944808324
Dgkb	-0.90564454	217480	Q6NS52	Q6NS52	0.5135134162083275
Atp6v1d	-0.7552261	73834	P57746	P57746	-0.028371277867276508
Atp6v1d	-0.7552261	73834	Q3U861	P57746	-0.028371277867276508
Aldh6a1	0.73302495	104776	Q9EQ20	Q9EQ20	0.37658954118407156
Aldh6a1	0.73302495	104776	Q8K0L1	Q9EQ20	0.37658954118407156
Dlst	-0.82362443	78920	Q9D2G2	Q9D2G2	0.07119569279375053
Acyp1	-0.40576598	66204	P56376	P56376	-0.08077627622718804
Acyp1	-0.40576598	66204	Q4VAF0	P56376	-0.08077627622718804
Pfkp	4.7149453	56421	Q9WUA3	Q8C605	0.7803820670077042
Pfkp	4.7149453	56421	Q9WUA3	Q9WUA3	0.7803820670077042
Pfkp	4.7149453	56421	Q8C605	Q8C605	0.7803820670077042
Pfkp	4.7149453	56421	Q8C605	Q9WUA3	0.7803820670077042
Uqcrfs1	-0.41805112	66694	Q9CR68	Q9CR68	0.34805434915872824
Eci2	-0.69636387	23986	Q9WUR2	Q9WUR2	0.32939716644487904
Auh	0.067366906	11992	Q9JLZ3	A0A0R4J023	0.6385077102438006
Auh	0.067366906	11992	Q9JLZ3	Q9JLZ3	0.6385077102438006
Auh	0.067366906	11992	Q9JLZ3	E9QMT1	0.6385077102438006
Auh	0.067366906	11992	Q9JLZ3	E9QMT1	0.6385077102438006
Auh	0.067366906	11992	A0A0R4J023	A0A0R4J023	0.6385077102438006
Auh	0.067366906	11992	A0A0R4J023	Q9JLZ3	0.6385077102438006
Auh	0.067366906	11992	A0A0R4J023	E9QMT1	0.6385077102438006
Auh	0.067366906	11992	A0A0R4J023	E9QMT1	0.6385077102438006
Auh	0.067366906	11992	E9QMT1	A0A0R4J023	0.6385077102438006
Auh	0.067366906	11992	E9QMT1	Q9JLZ3	0.6385077102438006
Auh	0.067366906	11992	E9QMT1	E9QMT1	0.6385077102438006
Auh	0.067366906	11992	E9QMT1	E9QMT1	0.6385077102438006
Uqcrb	-0.758515	67530	Q9CQB4	Q9CQB4	-0.03395803533769509
Ptdss1	-0.6432039	19210	Q99LH2	Q99LH2	-0.23897308976818352
Ndufs6	-1.3462186	407785	P52503	P52503	-0.07873997475656222
Lpcat1	0.032172885	210992	Q3TFD2	Q3TFD2	0.7466667287001916
Sdha	-1.350511	66945	Q8K2B3	Q8K2B3	0.2122635707475388
Cox7c	-0.2989527	12867	P17665	P17665	0.42456509950458504
Mccc2	0.28493053	78038	Q3ULD5	Q3ULD5	0.36460149895932853
Mccc2	0.28493053	78038	Q3ULD5	Q6PD20	0.36460149895932853
Mccc2	0.28493053	78038	B2RUK5	Q3ULD5	0.36460149895932853
Mccc2	0.28493053	78038	B2RUK5	Q6PD20	0.36460149895932853
Mccc2	0.28493053	78038	Q6PD20	Q3ULD5	0.36460149895932853
Mccc2	0.28493053	78038	Q6PD20	Q6PD20	0.36460149895932853
Plpp1	0.39293918	19012	Q61469	Q61469	0.2286365329371058
Ndufs4	0.7236906	17993	Q9CXZ1	E9QPX3	-0.029690927037365887
Ndufs4	0.7236906	17993	Q9CXZ1	Q9CXZ1	-0.029690927037365887
Ndufs4	0.7236906	17993	E9QPX3	E9QPX3	-0.029690927037365887
Ndufs4	0.7236906	17993	E9QPX3	Q9CXZ1	-0.029690927037365887
Hmgcs1	-0.18266098	208715	Q8JZK9	Q8JZK9	-0.2721314744982729
Pdhb	0.2158089	68263	Q9D051	Q9D051	0.1349813977746701
Ogdhl	1.8857534	239017	B2RXT3	B2RXT3	0.4774539671372699
Ogdhl	1.8857534	239017	B2RXT3	E9Q7L0	0.4774539671372699
Ogdhl	1.8857534	239017	E9Q7L0	B2RXT3	0.4774539671372699
Ogdhl	1.8857534	239017	E9Q7L0	E9Q7L0	0.4774539671372699
Pck2	-3.6782806	74551	Q8BH04	A0A0R4J0G0	1.2464885276571236
Pck2	-3.6782806	74551	Q8BH04	Q8BH04	1.2464885276571236
Pck2	-3.6782806	74551	A0A0R4J0G0	A0A0R4J0G0	1.2464885276571236
Pck2	-3.6782806	74551	A0A0R4J0G0	Q8BH04	1.2464885276571236
Sucla2	-0.2437657	20916	Q9Z2I9	Q9Z2I9	0.4504568285659149
Dgkh	0.65200245	380921	D3YXJ0	A0JP53	0.0365492256564218
Dgkh	0.65200245	380921	D3YXJ0	D3YXJ0	0.0365492256564218
Dgkh	0.65200245	380921	D3YXJ0	A0A2I3BQ43	0.0365492256564218
Dgkh	0.65200245	380921	A0A2I3BQ43	A0JP53	0.0365492256564218
Dgkh	0.65200245	380921	A0A2I3BQ43	D3YXJ0	0.0365492256564218
Dgkh	0.65200245	380921	A0A2I3BQ43	A0A2I3BQ43	0.0365492256564218
Dgkh	0.65200245	380921	A0JP53	A0JP53	0.0365492256564218
Dgkh	0.65200245	380921	A0JP53	D3YXJ0	0.0365492256564218
Dgkh	0.65200245	380921	A0JP53	A0A2I3BQ43	0.0365492256564218
Pcca	-0.012997574	110821	Q91ZA3	Q91ZA3	0.33932454842537707
Pcca	-0.012997574	110821	Q3UGC8	Q91ZA3	0.33932454842537707
Oxct1	0.32989156	67041	Q9D0K2	Q9D0K2	0.15320715811931557
Cox6c	-0.577662	12864	Q9CPQ1	Q9CPQ1	-0.5290318969476454
Atp6v1c1	-1.060906	66335	Q9Z1G3	Q9Z1G3	0.07817404434321838
Ndufb9	-0.79710484	66218	Q9CQJ8	Q9CQJ8	-0.546766025061132
Cyc1	-0.4544424	66445	Q9D0M3	Q9D0M3	0.21696711134848837
Dgat1	-1.5751461	13350	Q9Z2A7		
Dgat1	-1.5751461	13350	Q54AA6		
Pla2g6	-0.6810479	53357	P97819	P97819	0.11366996672926406
Pla2g6	-0.6810479	53357	Q3U613	P97819	0.11366996672926406
Pla2g6	-0.6810479	53357	Q3UN31	P97819	0.11366996672926406
Aco2	-0.22783747	11429	Q99KI0	Q99KI0	0.29677000064499376
Ndufa6	-0.17888974	67130	Q9CQZ5	Q9CQZ5	0.11790775483022395
Pnpla3	-2.5814447	116939	Q91WW7		
Pnpla3	-2.5814447	116939	E9QNZ9		
Chkb	-1.0671377	12651	O55229	O55229	0.41999561425494364
Chkb	-1.0671377	12651	Q54AG5	O55229	0.41999561425494364
Pfkm	1.4521766	18642	P47857	P47857	0.152086780970853
Atp5g2	-0.5716636	67942	P56383		
Abat	2.2360272	268860	P61922	P61922	0.5952404024137607
Dgkg	4.7300115	110197	Q91WG7	Q8C413	0.277581313356937
Dgkg	4.7300115	110197	Q91WG7	Q91WG7	0.277581313356937
Dgkg	4.7300115	110197	Q570Z5	Q8C413	0.277581313356937
Dgkg	4.7300115	110197	Q570Z5	Q91WG7	0.277581313356937
Dgkg	4.7300115	110197	Q8C413	Q8C413	0.277581313356937
Dgkg	4.7300115	110197	Q8C413	Q91WG7	0.277581313356937
Pcyt1a	-0.482145	13026	P49586	P49586	0.24270730752178019
Ndufb4	0.23849483	68194	Q9CQC7	Q9CQC7	0.4611562367503083
Cox17	-1.3898689	12856	P56394	P56394	0.6692750093033613
Cox17	-1.3898689	12856	Q54AC6	P56394	0.6692750093033613
Atp6v1a	0.19175988	11964	P50516	P50516	0.012287524154815424
Atp5j	-0.6246931	11957	P97450		
Cbr1	0.29219243	12408	P48758	P48758	0.32305217635320554
Cbr1	0.29219243	12408	B2RXY7	P48758	0.32305217635320554
Agpat4	0.15890148	68262	Q8K4X7	Q8K4X7	0.5052832587473876
Acat3	-0.67074966	224530	Q80X81		
Acat2	0.5570217	110460	Q8CAY6	Q8CAY6	-0.8290009344555539
Acat2	0.5570217	110460	Q8CAY6	Q80X81	-0.8290009344555539
Atp6v0c	0.038468264	11984	P63082		
Atp6v0c	0.038468264	11984	A3KML5		
Eci1	-2.0158277	13177	P42125	P42125	0.2697306201388609
Ndufb10	-0.21286574	68342	Q9DCS9	Q9DCS9	0.2538457724969778
Hagh	0.77494895	14651	Q99KB8	A0A0R4J052	-0.4449807360859673
Hagh	0.77494895	14651	Q99KB8	G5E8T9	-0.4449807360859673
Hagh	0.77494895	14651	Q99KB8	Q99KB8	-0.4449807360859673
Hagh	0.77494895	14651	A0A0R4J052	A0A0R4J052	-0.4449807360859673
Hagh	0.77494895	14651	A0A0R4J052	G5E8T9	-0.4449807360859673
Hagh	0.77494895	14651	A0A0R4J052	Q99KB8	-0.4449807360859673
Hagh	0.77494895	14651	G5E8T9	A0A0R4J052	-0.4449807360859673
Hagh	0.77494895	14651	G5E8T9	G5E8T9	-0.4449807360859673
Hagh	0.77494895	14651	G5E8T9	Q99KB8	-0.4449807360859673
Atp6v0e	-0.26126027	11974	Q9CQD8		
Glo1	-0.3887143	109801	Q9CPU0	Q9CPU0	-0.12472085757857124
Glo1	-0.3887143	109801	A5GZX3	Q9CPU0	-0.12472085757857124
Ndufv3	0.38142493	78330	Q8BK30	Q3U422	0.21113108825875218
Ndufv3	0.38142493	78330	Q8BK30	Q8BK30	0.45651835872245944
Ndufv3	0.38142493	78330	Q3U422	Q3U422	0.21113108825875218
Ndufv3	0.38142493	78330	Q3U422	Q8BK30	0.45651835872245944
Ndufa7	-0.7187142	66416	Q9Z1P6	Q9Z1P6	-0.2766173417529939
Agpat1	-0.108157255	55979	O35083	A0A0R4J263	0.5752395345034209
Agpat1	-0.108157255	55979	O35083	O35083	0.5752395345034209
Agpat1	-0.108157255	55979	A0A0R4J263	A0A0R4J263	0.5752395345034209
Agpat1	-0.108157255	55979	A0A0R4J263	O35083	0.5752395345034209
Atp6v1g2	0.44745496	66237	Q9WTT4	Q9WTT4	-0.421867533951437
Atp6v1g2	0.44745496	66237	Q9WTT4	G5E923	-0.421867533951437
Atp6v1g2	0.44745496	66237	G5E923	Q9WTT4	-0.421867533951437
Atp6v1g2	0.44745496	66237	G5E923	G5E923	-0.421867533951437
Atp6v1g2	0.44745496	66237	Q54A87	Q9WTT4	-0.421867533951437
Atp6v1g2	0.44745496	66237	Q54A87	G5E923	-0.421867533951437
Mmut	-1.1721061	17850	P16332	P16332	0.45340071247699837
Mmut	-1.1721061	17850	Q9CSI4	P16332	0.45340071247699837
Ndufa11	-0.16041492	69875	G5E814		
Acsbg3	-2.9217434	78625	Q08EE8		
Ndufv2	-0.339355	72900	Q9D6J6	Q9D6J6	0.35995162779603873
Lpin2	-0.31800735	64898	Q99PI5	E9PWN0	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	Q99PI5	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	Q91ZP3	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	E9QKQ5	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	A0A1Y7VLN4	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	Q91ZP3	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	E9QKQ5	0.1266489354872113
Lpin2	-0.31800735	64898	Q99PI5	A0A1Y7VLN4	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	E9PWN0	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	Q99PI5	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	Q91ZP3	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	E9QKQ5	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	A0A1Y7VLN4	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	Q91ZP3	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	E9QKQ5	0.1266489354872113
Lpin2	-0.31800735	64898	E9PWN0	A0A1Y7VLN4	0.1266489354872113
Lclat1	0.70461607	225010	Q3UN02	Q3UN02	0.49678691516923007
Lclat1	0.70461607	225010	B0V2Q7	Q3UN02	0.49678691516923007
Cox7a2l	-0.047060087	20463	Q61387	E9PZS8	0.4148964196671342
Cox7a2l	-0.047060087	20463	Q61387	Q61387	0.4148964196671342
Cox7a2l	-0.047060087	20463	E9PZS8	E9PZS8	0.4148964196671342
Cox7a2l	-0.047060087	20463	E9PZS8	Q61387	0.4148964196671342
Cox7a2l	-0.047060087	20463	Q3UDK5	E9PZS8	0.4148964196671342
Cox7a2l	-0.047060087	20463	Q3UDK5	Q61387	0.4148964196671342
Ndufa2	-0.45890895	17991	Q9CQ75	Q9CQ75	0.05386968873536382
Eno1b	0.44835114	433182	P17182		
Eno1b	0.44835114	433182	Q5FW97		
Aldh7a1	-3.454761	110695	Q9DBF1	Q9DBF1	0.3770539256009282
Me2	0.48500586	107029	Q99KE1	Q99KE1	0.18236004356808702
Atp5a1	-0.13878272	11946	Q03265		
Cpt1a	5.5711613	12894	P97742	P97742	0.46339441796837344
Cpt1a	5.5711613	12894	Q3UGT1	P97742	0.46339441796837344
Cpt1a	5.5711613	12894	Q7TQD5	P97742	0.46339441796837344
Chka	0.99560845	12660	O54804	O54804	0.18265162900462042
Tcirg1	0.499334	27060	Q9JHF5		
Ndufs8	-1.5315553	225887	Q8K3J1	Q8K3J1	-0.334167886102437
Ndufs8	-1.5315553	225887	Q3UY05	Q8K3J1	-0.334167886102437
Ndufs8	-1.5315553	225887	Q5M9P5	Q8K3J1	-0.334167886102437
Ndufv1	0.054497834	17995	Q91YT0	Q91YT0	0.27949868749465656
Pcx	-0.78300285	18563	E9QPD7		
Pcx	-0.78300285	18563	G5E8R3		
Pcx	-0.78300285	18563	Q3UFS6		
Pcx	-0.78300285	18563	Q8BP54		
Cox8a	-0.2642942	12868	Q64445	Q64445	-0.16304673901252678
Tkfc	0.72703755	225913	Q8VC30	Q8VC30	0.14941393946205783
Minpp1	0.057604756	17330	Q9Z2L6	Q9Z2L6	0.7703724950841797
Pgam1	0.781335	18648	Q9DBJ1	Q9DBJ1	-0.2402245245658229
Pgam1	0.781335	18648	Q3U7Z6	Q9DBJ1	-0.2402245245658229
Ndufb8	0.10725284	67264	Q9D6J5	Q9D6J5	-0.28083808909558533
Ndufb8	0.10725284	67264	Q9D6J5	Q3V406	-0.28083808909558533
Ndufb8	0.10725284	67264	Q3V406	Q9D6J5	-0.28083808909558533
Ndufb8	0.10725284	67264	Q3V406	Q3V406	-0.28083808909558533
Gpam	0.62578404	14732	Q61586		
Acsl5	2.8606014	433256	Q8JZR0	Q8JZR0	-0.019545281666152
Acsl5	2.8606014	433256	Q3UC67	Q8JZR0	-0.019545281666152
Pnliprp2	-2.6844351	18947	P17892		
Eno4	0.96801484	226265	Q8C042		
Eno4	0.96801484	226265	A0A0J9YUP0		
Ndufb11	-0.963472	104130	O09111	O09111	-0.8509780250662188
Ndufa1	0.604139	54405	O35683		
Ndufa1	0.604139	54405	Q545K0		
Idh3g	0.25186852	15929	P70404	P70404	0.27768169757954275
Idh3g	0.25186852	15929	Q3TGZ3	P70404	0.27768169757954275
Atp6ap1	-0.6565863	54411	Q9R1Q9	Q9R1Q9	0.6300412480655248
Atp6ap1	-0.6565863	54411	Q3TWN7	Q9R1Q9	0.6300412480655248
Atp6ap1	-0.6565863	54411	Q3UWN7	Q9R1Q9	0.6300412480655248
Gk	-0.638227	14933	Q64516	B1ASZ3	-0.20837957719250283
Gk	-0.638227	14933	Q64516	Q64516	-0.20837957719250283
Gk	-0.638227	14933	B1ASZ3	B1ASZ3	-0.20837957719250283
Gk	-0.638227	14933	B1ASZ3	Q64516	-0.20837957719250283
Gk	-0.638227	14933	Q3TEN9	B1ASZ3	-0.20837957719250283
Gk	-0.638227	14933	Q3TEN9	Q64516	-0.20837957719250283
Gk	-0.638227	14933	Q3TET2	B1ASZ3	-0.20837957719250283
Gk	-0.638227	14933	Q3TET2	Q64516	-0.20837957719250283
Pcyt1b	3.1954813	236899	Q811Q9	Q811Q9	0.47203254811393586
Cox7b	-1.1340911	66142	P56393	P56393	-0.6379207781174652
Cox7b	-1.1340911	66142	Q5FW98	P56393	-0.6379207781174652
Pgk1	0.71053016	18655	P09411	P09411	-0.314097880289574
Gla	7.089985	11605	Q3UM38	Q8BGZ6	0.21354029070336586
Gla	7.089985	11605	Q8BGZ6	Q8BGZ6	0.21354029070336586
Acsl4	2.4892244	50790	Q9QUJ7	Q9QUJ7	-0.0648886851251457
Acsl4	2.4892244	50790	Q8BW44	Q9QUJ7	-0.0648886851251457
Acsl4	2.4892244	50790	Q91YN3	Q9QUJ7	-0.0648886851251457
Hsd17b10	-0.6755427	15108	Q99N15	Q99N15	0.6593398435973852
Pdha1	1.1529638	18597	P35486	P35486	0.16554493025382794
Pdha1	1.1529638	18597	Q3UFJ3	P35486	0.16554493025382794
